code_zone_geo;zone_geographique;annee;code_indicateur;indicateur;code_type_pers;type_de_personnel;code_taille;taille_d_entreprise;secret;non_disponible;etat_des_donnees;valeur
95;Provence-Alpes-Côte d'Azur + Corse;2013;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;semi-définitif;727.86
07;Régions d'outre-mer;2009;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;11.06
07;Régions d'outre-mer;2011;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;92.56
100;France;2005;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;106837.3
100;France;2007;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;24752.72
100;France;2010;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;non;non;définitif;2240.2
54;Poitou-Charentes;2013;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;semi-définitif;1157.0
72;Aquitaine;2005;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;2702.95
72;Aquitaine;2006;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;non;non;définitif;50.34
72;Aquitaine;2007;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;328.69
72;Aquitaine;2009;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;546.6
72;Aquitaine;2012;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;392.71
73;Midi-Pyrénées;2006;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;15405.59
73;Midi-Pyrénées;2007;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;9987.31
73;Midi-Pyrénées;2010;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;2487.64
73;Midi-Pyrénées;2010;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;349.87
74;Limousin;2002;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;325.43
74;Limousin;2007;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;définitif;23.88
74;Limousin;2007;pers;Effectifs de R&D;0;Tous types de personnel;4;Plus de 1000 salariés;oui;non;définitif;
74;Limousin;2007;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;oui;non;définitif;
74;Limousin;2009;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;1227.34
74;Limousin;2010;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;définitif;435.71
23;Haute-Normandie;2008;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;définitif;877.57
23;Haute-Normandie;2008;pers;Effectifs de R&D;0;Tous types de personnel;4;Plus de 1000 salariés;non;non;définitif;2601.99
